Name,SPDXID,Version,DownloadLocation,License
"@opentelemetry/instrumentation-dataloader","SPDXRef-Package-opentelemetry.instrumentation-dataloader-0.21.1","0.21.1","https://registry.npmjs.org/@opentelemetry/instrumentation-dataloader/-/instrumentation-dataloader-0.21.1.tgz","Apache-2.0"
"@opentelemetry/instrumentation-dns","SPDXRef-Package-opentelemetry.instrumentation-dns-0.47.0","0.47.0","https://registry.npmjs.org/@opentelemetry/instrumentation-dns/-/instrumentation-dns-0.47.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-express","SPDXRef-Package-opentelemetry.instrumentation-express-0.52.0","0.52.0","https://registry.npmjs.org/@opentelemetry/instrumentation-express/-/instrumentation-express-0.52.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-fastify","SPDXRef-Package-opentelemetry.instrumentation-fastify-0.48.0","0.48.0","https://registry.npmjs.org/@opentelemetry/instrumentation-fastify/-/instrumentation-fastify-0.48.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-fs","SPDXRef-Package-opentelemetry.instrumentation-fs-0.23.0","0.23.0","https://registry.npmjs.org/@opentelemetry/instrumentation-fs/-/instrumentation-fs-0.23.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-generic-pool","SPDXRef-Package-opentelemetry.instrumentation-generic-pool-0.47.0","0.47.0","https://registry.npmjs.org/@opentelemetry/instrumentation-generic-pool/-/instrumentation-generic-pool-0.47.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-graphql","SPDXRef-Package-opentelemetry.instrumentation-graphql-0.51.0","0.51.0","https://registry.npmjs.org/@opentelemetry/instrumentation-graphql/-/instrumentation-graphql-0.51.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-grpc","SPDXRef-Package-opentelemetry.instrumentation-grpc-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/instrumentation-grpc/-/instrumentation-grpc-0.203.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-hapi","SPDXRef-Package-opentelemetry.instrumentation-hapi-0.50.0","0.50.0","https://registry.npmjs.org/@opentelemetry/instrumentation-hapi/-/instrumentation-hapi-0.50.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-http","SPDXRef-Package-opentelemetry.instrumentation-http-0.203.0","0.203.0","https://registry.npmjs.org/@opentelemetry/instrumentation-http/-/instrumentation-http-0.203.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-ioredis","SPDXRef-Package-opentelemetry.instrumentation-ioredis-0.51.0","0.51.0","https://registry.npmjs.org/@opentelemetry/instrumentation-ioredis/-/instrumentation-ioredis-0.51.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-kafkajs","SPDXRef-Package-opentelemetry.instrumentation-kafkajs-0.13.0","0.13.0","https://registry.npmjs.org/@opentelemetry/instrumentation-kafkajs/-/instrumentation-kafkajs-0.13.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-knex","SPDXRef-Package-opentelemetry.instrumentation-knex-0.48.0","0.48.0","https://registry.npmjs.org/@opentelemetry/instrumentation-knex/-/instrumentation-knex-0.48.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-koa","SPDXRef-Package-opentelemetry.instrumentation-koa-0.51.0","0.51.0","https://registry.npmjs.org/@opentelemetry/instrumentation-koa/-/instrumentation-koa-0.51.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-lru-memoizer","SPDXRef-Package-opentelemetry.instrumentation-lru-memoizer-0.48.0","0.48.0","https://registry.npmjs.org/@opentelemetry/instrumentation-lru-memoizer/-/instrumentation-lru-memoizer-0.48.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-memcached","SPDXRef-Package-opentelemetry.instrumentation-memcached-0.47.0","0.47.0","https://registry.npmjs.org/@opentelemetry/instrumentation-memcached/-/instrumentation-memcached-0.47.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-mongodb","SPDXRef-Package-opentelemetry.instrumentation-mongodb-0.56.0","0.56.0","https://registry.npmjs.org/@opentelemetry/instrumentation-mongodb/-/instrumentation-mongodb-0.56.0.tgz","Apache-2.0"
"@opentelemetry/instrumentation-mongoose","SPDXRef-Package-opentelemetry.instrumentation-mongoose-0.50.0","0.50.0","https://registry.npmjs.org/@opentelemetry/instrumentation-mongoose/-/instrumentation-mongoose-0.50.0.tgz","Apache-2.0"
